Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Label
0.49142562336079665,0.24998881350190283,0.8550881387386866,0.4810619168947715,0.9486533232915458,0.41255189770158096,0.7724690297537544,0.7000348370082073,0.5160891778429041,0.8684938762572629,1.0
0.5725475886298992,0.5281981234778707,0.7268755077078758,0.03557460941096857,0.475427978745382,0.23244294990182135,0.06001309854097969,0.40088419966979794,0.601028578866383,0.5374182555227065,0.0
0.34328953172690213,0.8729912237366952,0.4823749811296154,0.7191603094085933,0.31664069876686796,0.2803528712449156,0.3573036062253101,0.8889184373403036,0.0083231484412849,0.5945839427294376,1.0
0.6731633104512587,0.17671630817868123,0.06289732418697824,0.15833953016663638,0.02844166460309039,0.815095725707861,0.931165442799591,0.05983689470318743,0.19846411168808675,0.23583490044357813,1.0
0.8274696183186386,0.43541059720387254,0.05965171988866347,0.7497058272936453,0.5601205599290632,0.5951928860465842,0.4446640630069093,0.05699967097687442,0.7216963417859293,0.9382703192964852,0.0
0.49528806756114874,0.7735711913096417,0.6149190061045345,0.018814086672194863,0.11631505224687322,0.8297617961475023,0.9080310396070181,0.8028010238204154,0.045327797953680915,0.1824367795900418,0.0
0.08182284336946566,0.43111819194681333,0.70504761267769,0.7071487388899115,0.4705520948867167,0.2660636345611157,0.7850547553992284,0.8279502274346642,0.7494847191034009,0.1608087476071023,0.0
0.292528979118736,0.7931982108996323,0.24364419201143672,0.2474214633202929,0.14119961560413463,0.14852835910963025,0.35678064261794973,0.4644512266784152,0.048208016041850654,0.1802069215919826,1.0
0.9409201370803033,0.28178215761802394,0.06528416564425532,0.9959176207304105,0.9717838880272628,0.648281469045307,0.35462793617841704,0.9816772506895993,0.8006125497538372,0.40130583264546604,0.0
0.5756882660477525,0.30191260781931073,0.7227893956680205,0.20683323431888523,0.988961712923984,0.5114344982447399,0.9912291364115813,0.9823128954270406,0.8706763569424087,0.9259086114546327,0.0
0.8822789448315058,0.8454794771492982,0.4959117711147645,0.7727275441191995,0.9369896513617763,0.5800247167716839,0.2408733566945419,0.5252248153996724,0.8969893997787758,0.8823800245311838,1.0
0.9688446392154879,0.2649817475194609,0.9330282215073062,0.9364992400867593,0.09263743278772629,0.8702955222156334,0.7384182752898605,0.23346672915964461,0.49346748325512013,0.883904268622725,0.0
0.6659519373453633,0.9521402717646897,0.2415623518529828,0.026809461423768388,0.10751237809811087,0.5019156027361305,0.8859434055561715,0.8712025508976851,0.6160720585607429,0.4088953847747462,0.0
0.3176060536866393,0.06428432801759232,0.10191293282024372,0.9565331613201542,0.5705188444592479,0.5922586958416542,0.2042166830002593,0.36665032797023756,0.046213766504657805,0.7225744073986219,0.0
0.3909145382567928,0.9513123242795082,0.33562674107344914,0.9311519174513091,0.3412258854807484,0.618882595810923,0.15945093243858122,0.4554691901274155,0.005149952823687243,0.3749740148269842,1.0
0.9532689507076199,0.19189272867441387,0.2787366298412379,0.6875801029090475,0.01237130055430602,0.960021247105093,0.10292007239333689,0.41378340509744893,0.8436243717408916,0.6143690340969628,1.0
0.3388272111518468,0.013571604190872,0.3072357062806125,0.5426199211759016,0.5886268943761533,0.7137463038150432,0.24551582748521095,0.8258233147499029,0.5932442983957946,0.90036210365261,1.0
0.074372496831414,0.3193729826447419,0.313006485298412,0.3776077988614692,0.940173453460152,0.6360373419479971,0.7520584821166646,0.14889738980072165,0.12296336802190488,0.2114434532717101,0.0
0.674958084075249,0.11806839241684353,0.42598566209667155,0.07995822137264852,0.905321038582001,0.3041140198088267,0.049883309240961404,0.23200961900496786,0.6500474626622178,0.9321014177391721,0.0
0.30292057030955766,0.47587979371997713,0.503394122474089,0.9213379590643074,0.21489187282982658,0.8286393721478252,0.38330118484111253,0.9307034840270394,0.29061353154397285,0.5347436865335947,1.0
0.43235156976131217,0.5419748185432816,0.760304230202873,0.4354469652050653,0.1535310244026472,0.5714459705646501,0.7941960094569259,0.7467323673221727,0.9802398986722093,0.17036681474979598,1.0
0.8106672033701892,0.15433336249744312,0.9082493156271253,0.4338977901134139,0.9618403353422262,0.4003256625193594,0.45920453850656107,0.3340296321391899,0.4396706101993052,0.8398618669504939,1.0
0.8295663077177152,0.5264790160500062,0.980040035655622,0.5721704633687541,0.08165037518843676,0.9907656746015907,0.20725370761742878,0.2492911518857912,0.6794079442126703,0.9944414644651409,0.0
0.9183881095786333,0.8906312736125556,0.3750803982945803,0.9598523944170276,0.7004677997850429,0.42284327400317656,0.9163477843296366,0.9566340008018367,0.034818957781383664,0.49787197877334055,0.0
0.8581220038784102,0.6778877932460116,0.46630857552164384,0.07945733356952422,0.24751935048562268,0.039529484647622626,0.18140069360855915,0.3542668576541168,0.24934236225607342,0.6021401567974436,1.0
0.7960819471940906,0.9025220192997503,0.3938069767140826,0.7856591690459305,0.45024725322956005,0.9332842013032505,0.4014800848026858,0.21059609451549166,0.6686570252916941,0.9485311505615873,0.0
0.8517054205708195,0.33378748372834843,0.08674815302357242,0.6097700617851605,0.7071193609484384,0.5542651075345558,0.5629619529393909,0.9780777197791666,0.42388979133126214,0.09709895933627932,0.0
0.6199210726074711,0.790890156418335,0.49164547223243804,0.41435801622102175,0.9253432914256413,0.09414196738426361,0.41920029083504673,0.12546027635250057,0.5342852969743342,0.4614338386397977,0.0
0.19936641038395142,0.590802938704475,0.20486540485509241,0.9007755986750939,0.02282805804178234,0.6165198728014046,0.9419608180570663,0.013584343922873887,0.996302866640617,0.22156916580469999,0.0
0.2559268953328967,0.7931213986944368,0.5612668555152898,0.9606657584413207,0.00643265016903638,0.649148935899525,0.7267688106211663,0.5850244430077389,0.3904429400625743,0.009060330958823193,1.0
0.5200283305909426,0.3770398612971112,0.3841864320895195,0.19718640107436602,0.8554074673165613,0.8777853988857828,0.6122760169767605,0.12900615239065616,0.30793819020001,0.5721359060975029,1.0
0.02826700091081269,0.9200510750853845,0.13779655016435344,0.49757859838391705,0.6902180224667469,0.1496865998920267,0.7430029482608144,0.6914992905293971,0.5425615233398996,0.5938644152393506,0.0
0.869348561952848,0.2901954658947046,0.809780560202224,0.9082662135862367,0.33452952336382913,0.8567009537233975,0.25785969208905435,0.7768315259907017,0.7600074378048087,0.0944391089202441,0.0
